time_s,altitude_m
0.000,120.001
0.020,120.014
0.040,120.041
0.060,120.081
0.080,120.138
0.100,120.210
0.120,120.298
0.140,120.403
0.160,120.525
0.180,120.664
0.200,120.820
0.220,120.993
0.240,121.182
0.260,121.387
0.280,121.609
0.300,121.847
0.320,122.100
0.340,122.370
0.360,122.654
0.380,122.954
0.400,123.269
0.420,123.599
0.440,123.945
0.460,124.306
0.480,124.682
0.500,125.074
0.520,125.481
0.540,125.904
0.560,126.343
0.580,126.797
0.600,127.266
0.620,127.749
0.640,128.249
0.660,128.762
0.680,129.291
0.700,129.835
0.720,130.393
0.740,130.965
0.760,131.553
0.780,132.155
0.800,132.772
0.820,133.403
0.840,134.048
0.860,134.708
0.880,135.381
0.900,136.068
0.920,136.769
0.940,137.485
0.960,138.215
0.980,138.959
1.000,139.717
1.020,140.489
1.040,141.276
1.060,142.076
1.080,142.891
1.100,143.719
1.120,144.562
1.140,145.418
1.160,146.287
1.180,147.171
1.200,148.068
1.220,148.978
1.240,149.902
1.260,150.839
1.280,151.790
1.300,152.754
1.320,153.732
1.340,154.724
1.360,155.730
1.380,156.749
1.400,157.781
1.420,158.827
1.440,159.886
1.460,160.959
1.480,162.044
1.500,163.142
1.520,164.254
1.540,165.378
1.560,166.516
1.580,167.667
1.600,168.831
1.620,170.008
1.640,171.198
1.660,172.401
1.680,173.616
1.700,174.844
1.720,176.085
1.740,177.339
1.760,178.605
1.780,179.884
1.800,181.175
1.820,182.479
1.840,183.796
1.860,185.124
1.880,186.466
1.900,187.819
1.920,189.185
1.940,190.564
1.960,191.955
1.980,193.359
2.000,194.776
2.020,196.205
2.040,197.646
2.060,199.099
2.080,200.565
2.100,202.043
2.120,203.533
2.140,205.035
2.160,206.550
2.180,208.076
2.200,209.615
2.220,211.165
2.240,212.727
2.260,214.301
2.280,215.887
2.300,217.485
2.320,219.095
2.340,220.716
2.360,222.350
2.380,223.995
2.400,225.652
2.420,227.321
2.440,229.002
2.460,230.694
2.480,232.398
2.500,234.113
2.520,235.840
2.540,237.578
2.560,239.328
2.580,241.088
2.600,242.860
2.620,244.643
2.640,246.438
2.660,248.243
2.680,250.060
2.700,251.888
2.720,253.727
2.740,255.576
2.760,257.437
2.780,259.309
2.800,261.191
2.820,263.085
2.840,264.989
2.860,266.903
2.880,268.828
2.900,270.764
2.920,272.711
2.940,274.668
2.960,276.635
2.980,278.613
3.000,280.600
3.020,282.599
3.040,284.608
3.060,286.627
3.080,288.657
3.100,290.698
3.120,292.748
3.140,294.809
3.160,296.880
3.180,298.960
3.200,301.051
3.220,303.152
3.240,305.263
3.260,307.384
3.280,309.516
3.300,311.658
3.320,313.811
3.340,315.973
3.360,318.145
3.380,320.327
3.400,322.519
3.420,324.722
3.440,326.934
3.460,329.156
3.480,331.388
3.500,333.630
3.520,335.882
3.540,338.143
3.560,340.414
3.580,342.695
3.600,344.986
3.620,347.287
3.640,349.597
3.660,351.918
3.680,354.248
3.700,356.587
3.720,358.935
3.740,361.293
3.760,363.661
3.780,366.039
3.800,368.426
3.820,370.822
3.840,373.228
3.860,375.644
3.880,378.069
3.900,380.503
3.920,382.948
3.940,385.402
3.960,387.865
3.980,390.339
4.000,392.821
4.020,395.313
4.040,397.815
4.060,400.325
4.080,402.845
4.100,405.374
4.120,407.899
4.140,410.419
4.160,412.934
4.180,415.446
4.200,417.953
4.220,420.455
4.240,422.953
4.260,425.447
4.280,427.937
4.300,430.422
4.320,432.902
4.340,435.379
4.360,437.850
4.380,440.318
4.400,442.781
4.420,445.240
4.440,447.694
4.460,450.144
4.480,452.590
4.500,455.031
4.520,457.468
4.540,459.900
4.560,462.329
4.580,464.752
4.600,467.172
4.620,469.587
4.640,471.998
4.660,474.404
4.680,476.806
4.700,479.204
4.720,481.597
4.740,483.986
4.760,486.371
4.780,488.751
4.800,491.127
4.820,493.498
4.840,495.866
4.860,498.229
4.880,500.587
4.900,502.941
4.920,505.291
4.940,507.637
4.960,509.978
4.980,512.315
5.000,514.648
5.020,516.976
5.040,519.300
5.060,521.620
5.080,523.935
5.100,526.246
5.120,528.553
5.140,530.855
5.160,533.153
5.180,535.447
5.200,537.736
5.220,540.021
5.240,542.302
5.260,544.579
5.280,546.851
5.300,549.119
5.320,551.382
5.340,553.641
5.360,555.896
5.380,558.147
5.400,560.394
5.420,562.636
5.440,564.873
5.460,567.107
5.480,569.336
5.500,571.561
5.520,573.782
5.540,575.998
5.560,578.210
5.580,580.418
5.600,582.622
5.620,584.821
5.640,587.016
5.660,589.206
5.680,591.393
5.700,593.575
5.720,595.753
5.740,597.926
5.760,600.096
5.780,602.261
5.800,604.422
5.820,606.578
5.840,608.730
5.860,610.878
5.880,613.022
5.900,615.162
5.920,617.297
5.940,619.428
5.960,621.554
5.980,623.677
6.000,625.795
6.020,627.909
6.040,630.019
6.060,632.124
6.080,634.225
6.100,636.322
6.120,638.415
6.140,640.503
6.160,642.588
6.180,644.668
6.200,646.743
6.220,648.815
6.240,650.882
6.260,652.945
6.280,655.004
6.300,657.059
6.320,659.109
6.340,661.155
6.360,663.197
6.380,665.235
6.400,667.268
6.420,669.297
6.440,671.322
6.460,673.343
6.480,675.359
6.500,677.372
6.520,679.380
6.540,681.384
6.560,683.383
6.580,685.379
6.600,687.370
6.620,689.357
6.640,691.340
6.660,693.319
6.680,695.293
6.700,697.263
6.720,699.229
6.740,701.191
6.760,703.149
6.780,705.102
6.800,707.051
6.820,708.996
6.840,710.937
6.860,712.874
6.880,714.806
6.900,716.734
6.920,718.658
6.940,720.578
6.960,722.494
6.980,724.405
7.000,726.312
7.020,728.215
7.040,730.114
7.060,732.009
7.080,733.900
7.100,735.786
7.120,737.668
7.140,739.546
7.160,741.420
7.180,743.289
7.200,745.155
7.220,747.016
7.240,748.873
7.260,750.726
7.280,752.575
7.300,754.419
7.320,756.260
7.340,758.096
7.360,759.928
7.380,761.756
7.400,763.580
7.420,765.399
7.440,767.215
7.460,769.026
7.480,770.833
7.500,772.636
7.520,774.435
7.540,776.230
7.560,778.020
7.580,779.806
7.600,781.589
7.620,783.367
7.640,785.140
7.660,786.910
7.680,788.676
7.700,790.437
7.720,792.194
7.740,793.947
7.760,795.696
7.780,797.441
7.800,799.182
7.820,800.919
7.840,802.651
7.860,804.379
7.880,806.103
7.900,807.823
7.920,809.539
7.940,811.251
7.960,812.959
7.980,814.662
8.000,816.361
8.020,818.057
8.040,819.748
8.060,821.435
8.080,823.117
8.100,824.796
8.120,826.471
8.140,828.141
8.160,829.807
8.180,831.470
8.200,833.128
8.220,834.782
8.240,836.431
8.260,838.077
8.280,839.719
8.300,841.356
8.320,842.990
8.340,844.619
8.360,846.244
8.380,847.865
8.400,849.482
8.420,851.095
8.440,852.703
8.460,854.308
8.480,855.908
8.500,857.505
8.520,859.097
8.540,860.685
8.560,862.269
8.580,863.849
8.600,865.425
8.620,866.997
8.640,868.565
8.660,870.128
8.680,871.688
8.700,873.243
8.720,874.794
8.740,876.341
8.760,877.884
8.780,879.423
8.800,880.958
8.820,882.489
8.840,884.016
8.860,885.538
8.880,887.057
8.900,888.571
8.920,890.082
8.940,891.588
8.960,893.090
8.980,894.588
9.000,896.082
9.020,897.572
9.040,899.058
9.060,900.540
9.080,902.018
9.100,903.491
9.120,904.961
9.140,906.426
9.160,907.888
9.180,909.345
9.200,910.798
9.220,912.247
9.240,913.692
9.260,915.133
9.280,916.570
9.300,918.003
9.320,919.432
9.340,920.857
9.360,922.277
9.380,923.694
9.400,925.106
9.420,926.515
9.440,927.919
9.460,929.320
9.480,930.716
9.500,932.108
9.520,933.496
9.540,934.880
9.560,936.260
9.580,937.636
9.600,939.008
9.620,940.376
9.640,941.740
9.660,943.100
9.680,944.456
9.700,945.807
9.720,947.155
9.740,948.498
9.760,949.838
9.780,951.173
9.800,952.505
9.820,953.832
9.840,955.155
9.860,956.474
9.880,957.790
9.900,959.101
9.920,960.408
9.940,961.711
9.960,963.010
9.980,964.305
10.000,965.596
10.020,966.883
10.040,968.166
10.060,969.444
10.080,970.719
10.100,971.990
10.120,973.257
10.140,974.519
10.160,975.778
10.180,977.033
10.200,978.283
10.220,979.530
10.240,980.772
10.260,982.011
10.280,983.245
10.300,984.475
10.320,985.702
10.340,986.924
10.360,988.142
10.380,989.357
10.400,990.567
10.420,991.773
10.440,992.975
10.460,994.173
10.480,995.368
10.500,996.558
10.520,997.744
10.540,998.926
10.560,1000.104
10.580,1001.278
10.600,1002.448
10.620,1003.614
10.640,1004.776
10.660,1005.934
10.680,1007.088
10.700,1008.238
10.720,1009.384
10.740,1010.525
10.760,1011.663
10.780,1012.797
10.800,1013.927
10.820,1015.053
10.840,1016.175
10.860,1017.292
10.880,1018.406
10.900,1019.516
10.920,1020.622
10.940,1021.724
10.960,1022.821
10.980,1023.915
11.000,1025.005
11.020,1026.091
11.040,1027.172
11.060,1028.250
11.080,1029.324
11.100,1030.393
11.120,1031.459
11.140,1032.521
11.160,1033.578
11.180,1034.632
11.200,1035.682
11.220,1036.728
11.240,1037.769
11.260,1038.807
11.280,1039.841
11.300,1040.870
11.320,1041.896
11.340,1042.918
11.360,1043.935
11.380,1044.949
11.400,1045.959
11.420,1046.965
11.440,1047.966
11.460,1048.964
11.480,1049.958
11.500,1050.947
11.520,1051.933
11.540,1052.915
11.560,1053.893
11.580,1054.867
11.600,1055.836
11.620,1056.802
11.640,1057.764
11.660,1058.722
11.680,1059.676
11.700,1060.625
11.720,1061.571
11.740,1062.513
11.760,1063.451
11.780,1064.385
11.800,1065.315
11.820,1066.241
11.840,1067.163
11.860,1068.081
11.880,1068.995
11.900,1069.905
11.920,1070.811
11.940,1071.713
11.960,1072.611
11.980,1073.505
12.000,1074.395
12.020,1075.281
12.040,1076.163
12.060,1077.041
12.080,1077.916
12.100,1078.786
12.120,1079.652
12.140,1080.514
12.160,1081.373
12.180,1082.227
12.200,1083.077
12.220,1083.924
12.240,1084.766
12.260,1085.604
12.280,1086.439
12.300,1087.269
12.320,1088.096
12.340,1088.918
12.360,1089.737
12.380,1090.551
12.400,1091.362
12.420,1092.169
12.440,1092.971
12.460,1093.770
12.480,1094.565
12.500,1095.355
12.520,1096.142
12.540,1096.925
12.560,1097.704
12.580,1098.479
12.600,1099.250
12.620,1100.017
12.640,1100.780
12.660,1101.539
12.680,1102.294
12.700,1103.045
12.720,1103.792
12.740,1104.535
12.760,1105.275
12.780,1106.010
12.800,1106.741
12.820,1107.469
12.840,1108.192
12.860,1108.911
12.880,1109.627
12.900,1110.338
12.920,1111.046
12.940,1111.749
12.960,1112.449
12.980,1113.145
13.000,1113.836
13.020,1114.524
13.040,1115.208
13.060,1115.888
13.080,1116.564
13.100,1117.236
13.120,1117.904
13.140,1118.568
13.160,1119.228
13.180,1119.884
13.200,1120.536
13.220,1121.184
13.240,1121.828
13.260,1122.469
13.280,1123.105
13.300,1123.738
13.320,1124.366
13.340,1124.990
13.360,1125.611
13.380,1126.228
13.400,1126.840
13.420,1127.449
13.440,1128.054
13.460,1128.655
13.480,1129.251
13.500,1129.844
13.520,1130.433
13.540,1131.018
13.560,1131.599
13.580,1132.176
13.600,1132.750
13.620,1133.319
13.640,1133.884
13.660,1134.445
13.680,1135.003
13.700,1135.556
13.720,1136.106
13.740,1136.651
13.760,1137.193
13.780,1137.730
13.800,1138.264
13.820,1138.794
13.840,1139.320
13.860,1139.842
13.880,1140.360
13.900,1140.874
13.920,1141.384
13.940,1141.890
13.960,1142.392
13.980,1142.890
14.000,1143.384
14.020,1143.875
14.040,1144.361
14.060,1144.844
14.080,1145.322
14.100,1145.797
14.120,1146.268
14.140,1146.734
14.160,1147.197
14.180,1147.656
14.200,1148.111
14.220,1148.562
14.240,1149.009
14.260,1149.452
14.280,1149.891
14.300,1150.326
14.320,1150.757
14.340,1151.185
14.360,1151.608
14.380,1152.028
14.400,1152.443
14.420,1152.855
14.440,1153.262
14.460,1153.666
14.480,1154.066
14.500,1154.462
14.520,1154.854
14.540,1155.242
14.560,1155.626
14.580,1156.006
14.600,1156.382
14.620,1156.754
14.640,1157.123
14.660,1157.487
14.680,1157.848
14.700,1158.204
14.720,1158.557
14.740,1158.905
14.760,1159.250
14.780,1159.591
14.800,1159.928
14.820,1160.261
14.840,1160.590
14.860,1160.915
14.880,1161.236
14.900,1161.553
14.920,1161.866
14.940,1162.176
14.960,1162.481
14.980,1162.783
15.000,1163.080
15.020,1163.374
15.040,1163.663
15.060,1163.949
15.080,1164.231
15.100,1164.509
15.120,1164.783
15.140,1165.053
15.160,1165.319
15.180,1165.581
15.200,1165.840
15.220,1166.094
15.240,1166.344
15.260,1166.591
15.280,1166.833
15.300,1167.072
15.320,1167.307
15.340,1167.537
15.360,1167.764
15.380,1167.987
15.400,1168.206
15.420,1168.421
15.440,1168.632
15.460,1168.840
15.480,1169.043
15.500,1169.242
15.520,1169.438
15.540,1169.629
15.560,1169.817
15.580,1170.000
15.600,1170.180
15.620,1170.356
15.640,1170.528
15.660,1170.696
15.680,1170.860
15.700,1171.020
15.720,1171.176
15.740,1171.328
15.760,1171.477
15.780,1171.621
15.800,1171.761
15.820,1171.898
15.840,1172.031
15.860,1172.159
15.880,1172.284
15.900,1172.405
15.920,1172.522
15.940,1172.635
15.960,1172.744
15.980,1172.849
16.000,1172.950
16.020,1173.048
16.040,1173.141
16.060,1173.231
16.080,1173.316
16.100,1173.398
16.120,1173.475
16.140,1173.549
